#     Step;    Sim. Time;   Iter;    t_Ener;    t_Grad;       Temp;       E_Kin;           E_Pot;           E_Tot;        Cons.Qty;   E.Drift
        52;         26.0;      9;     18.27;      8.17;    2045.36;    0.301193;     -926.370045;     -926.068852;     -926.022391;     -0.92
        53;         26.5;      9;     18.14;      8.20;    2048.44;    0.301647;     -926.371788;     -926.070142;     -926.022387;     -0.91
        54;         27.0;      9;     18.11;      8.28;    2039.78;    0.300371;     -926.371742;     -926.071372;     -926.022330;     -0.71
        55;         27.5;      7;     15.26;      8.22;    2024.50;    0.298121;     -926.370684;     -926.072563;     -926.022245;     -0.42
        56;         28.0;      9;     18.12;      8.18;    2010.11;    0.296003;     -926.369768;     -926.073766;     -926.022182;     -0.21
        57;         28.5;     10;     19.35;      8.19;    2001.86;    0.294787;     -926.369811;     -926.075024;     -926.022181;     -0.21
        58;         29.0;      8;     16.56;      8.22;    1999.08;    0.294377;     -926.370717;     -926.076340;     -926.022240;     -0.40
        59;         29.5;     10;     19.65;      8.35;    1995.62;    0.293868;     -926.371533;     -926.077665;     -926.022311;     -0.65
        60;         30.0;      7;     15.42;      8.29;    1984.33;    0.292206;     -926.371147;     -926.078941;     -926.022340;     -0.74
        61;         30.5;      9;     18.21;      8.18;    1962.13;    0.288936;     -926.369079;     -926.080143;     -926.022311;     -0.65
        62;         31.0;      9;     18.01;      8.19;    1931.74;    0.284461;     -926.365752;     -926.081291;     -926.022252;     -0.45
        63;         31.5;      9;     18.06;      8.24;    1899.31;    0.279686;     -926.362111;     -926.082425;     -926.022204;     -0.28
        64;         32.0;      9;     18.05;      8.15;    1870.53;    0.275448;     -926.359018;     -926.083570;     -926.022186;     -0.22
        65;         32.5;      7;     14.99;      8.09;    1848.39;    0.272187;     -926.356911;     -926.084724;     -926.022194;     -0.25
        66;         33.0;      7;     14.95;      8.17;    1832.94;    0.269912;     -926.355799;     -926.085887;     -926.022222;     -0.35
        67;         33.5;      9;     17.85;      8.12;    1821.89;    0.268285;     -926.355341;     -926.087056;     -926.022266;     -0.49
        68;         34.0;      9;     17.94;      8.11;    1811.25;    0.266719;     -926.354941;     -926.088222;     -926.022313;     -0.65
        69;         34.5;      9;     17.78;      8.05;    1796.43;    0.264536;     -926.353905;     -926.089369;     -926.022353;     -0.79
        70;         35.0;      9;     18.03;      8.32;    1773.74;    0.261195;     -926.351666;     -926.090471;     -926.022365;     -0.83
        71;         35.5;      9;     18.28;      8.24;    1742.27;    0.256560;     -926.348071;     -926.091511;     -926.022337;     -0.73
        72;         36.0;      9;     18.05;      8.13;    1704.85;    0.251050;     -926.343541;     -926.092491;     -926.022277;     -0.53
        73;         36.5;      9;     17.80;      8.11;    1667.33;    0.245525;     -926.338963;     -926.093438;     -926.022213;     -0.31
        74;         37.0;      9;     17.69;      8.03;    1635.68;    0.240864;     -926.335262;     -926.094398;     -926.022184;     -0.22
        75;         37.5;      8;     16.20;      8.06;    1612.47;    0.237447;     -926.332841;     -926.095394;     -926.022210;     -0.30
        76;         38.0;      8;     16.26;      8.06;    1595.21;    0.234906;     -926.331318;     -926.096413;     -926.022270;     -0.51
        77;         38.5;      9;     17.75;      8.06;    1578.32;    0.232418;     -926.329823;     -926.097405;     -926.022316;     -0.66
        78;         39.0;      9;     17.71;      7.98;    1557.56;    0.229361;     -926.327692;     -926.098331;     -926.022311;     -0.65
        79;         39.5;      9;     17.63;      8.00;    1533.62;    0.225835;     -926.325025;     -926.099190;     -926.022257;     -0.46
        80;         40.0;      9;     17.62;      8.05;    1511.83;    0.222626;     -926.322650;     -926.100024;     -926.022195;     -0.25
        81;         40.5;      8;     16.19;      7.96;    1498.32;    0.220638;     -926.321518;     -926.100881;     -926.022165;     -0.15
        82;         41.0;      9;     17.41;      7.97;    1496.15;    0.220319;     -926.322096;     -926.101777;     -926.022176;     -0.19
        83;         41.5;      9;     17.33;      7.91;    1504.28;    0.221516;     -926.324219;     -926.102703;     -926.022210;     -0.31
        84;         42.0;      8;     15.90;      7.92;    1519.05;    0.223690;     -926.327336;     -926.103646;     -926.022252;     -0.44
        85;         42.5;     10;     18.54;      8.02;    1535.92;    0.226175;     -926.330774;     -926.104599;     -926.022290;     -0.58
        86;         43.0;      9;     17.31;      7.91;    1550.62;    0.228339;     -926.333894;     -926.105555;     -926.022321;     -0.68
        87;         43.5;      9;     17.29;      7.85;    1559.85;    0.229698;     -926.336198;     -926.106500;     -926.022334;     -0.72
        88;         44.0;      9;     17.10;      7.85;    1562.34;    0.230065;     -926.337484;     -926.107420;     -926.022319;     -0.67
        89;         44.5;      9;     17.15;      7.84;    1559.60;    0.229662;     -926.337972;     -926.108310;     -926.022278;     -0.53
