#     Step;    Sim. Time;   Iter;    t_Ener;    t_Grad;       Temp;       E_Kin;           E_Pot;           E_Tot;        Cons.Qty;   E.Drift
       229;        114.5;      8;     11.59;      5.83;     969.28;    0.142732;     -926.348262;     -926.205530;     -926.022457;     -1.14
       230;        115.0;      9;     12.67;      5.83;     978.34;    0.144066;     -926.350135;     -926.206068;     -926.022494;     -1.27
       231;        115.5;      9;     12.73;      5.83;     976.07;    0.143732;     -926.350289;     -926.206557;     -926.022483;     -1.23
       232;        116.0;      9;     12.83;      5.79;     963.70;    0.141911;     -926.348902;     -926.206991;     -926.022425;     -1.04
       233;        116.5;      9;     12.67;      5.82;     947.02;    0.139455;     -926.346844;     -926.207389;     -926.022345;     -0.76
       234;        117.0;      7;     10.62;      5.80;     933.93;    0.137527;     -926.345323;     -926.207796;     -926.022283;     -0.55
       235;        117.5;      9;     12.55;      5.71;     930.14;    0.136970;     -926.345230;     -926.208260;     -926.022280;     -0.54
       236;        118.0;      8;     11.47;      5.70;     935.53;    0.137763;     -926.346556;     -926.208794;     -926.022343;     -0.76
       237;        118.5;      9;     12.47;      5.69;     943.74;    0.138971;     -926.348330;     -926.209359;     -926.022432;     -1.06
       238;        119.0;      9;     12.46;      5.67;     945.99;    0.139303;     -926.349200;     -926.209897;     -926.022493;     -1.26
       239;        119.5;      9;     12.42;      5.64;     936.28;    0.137873;     -926.348242;     -926.210369;     -926.022494;     -1.27
       240;        120.0;      9;     12.44;      5.63;     914.60;    0.134680;     -926.345450;     -926.210769;     -926.022439;     -1.08
       241;        120.5;      8;     11.47;      5.66;     886.60;    0.130558;     -926.341680;     -926.211122;     -926.022358;     -0.81
       242;        121.0;      9;     12.37;      5.75;     860.63;    0.126734;     -926.338202;     -926.211468;     -926.022289;     -0.57
       243;        121.5;      9;     12.29;      5.65;     843.86;    0.124264;     -926.336107;     -926.211842;     -926.022261;     -0.48
       244;        122.0;      9;     12.23;      5.61;     839.35;    0.123599;     -926.335861;     -926.212262;     -926.022281;     -0.55
       245;        122.5;      9;     12.29;      5.62;     845.07;    0.124442;     -926.337165;     -926.212723;     -926.022339;     -0.74
       246;        123.0;      8;     11.33;      5.62;     855.26;    0.125942;     -926.339144;     -926.213202;     -926.022407;     -0.97
       247;        123.5;      8;     11.27;      5.63;     862.98;    0.127079;     -926.340749;     -926.213670;     -926.022459;     -1.15
       248;        124.0;      8;     11.19;      5.62;     863.06;    0.127091;     -926.341192;     -926.214101;     -926.022473;     -1.20
       249;        124.5;      8;     11.21;      5.61;     854.26;    0.125795;     -926.340273;     -926.214478;     -926.022440;     -1.08
       250;        125.0;      8;     11.34;      5.57;     840.11;    0.123711;     -926.338520;     -926.214808;     -926.022370;     -0.85
       251;        125.5;      8;     11.27;      5.59;     827.60;    0.121870;     -926.336998;     -926.215128;     -926.022300;     -0.61
       252;        126.0;      7;     10.18;      5.58;     823.59;    0.121279;     -926.336769;     -926.215489;     -926.022273;     -0.52
       253;        126.5;      8;     11.24;      5.60;     830.46;    0.122290;     -926.338211;     -926.215921;     -926.022313;     -0.65
       254;        127.0;      8;     11.25;      5.63;     844.20;    0.124313;     -926.340719;     -926.216405;     -926.022394;     -0.93
       255;        127.5;      9;     12.16;      5.57;     856.74;    0.126161;     -926.343051;     -926.216890;     -926.022467;     -1.18
       256;        128.0;      9;     12.23;      5.56;     860.84;    0.126764;     -926.344095;     -926.217331;     -926.022493;     -1.26
       257;        128.5;      9;     12.24;      5.56;     853.88;    0.125740;     -926.343453;     -926.217713;     -926.022466;     -1.17
       258;        129.0;      8;     11.15;      5.54;     838.66;    0.123498;     -926.341551;     -926.218053;     -926.022406;     -0.97
       259;        129.5;      6;      9.11;      5.55;     821.30;    0.120942;     -926.339319;     -926.218377;     -926.022344;     -0.76
       260;        130.0;      8;     11.03;      5.52;     808.12;    0.119001;     -926.337715;     -926.218714;     -926.022306;     -0.63
       261;        130.5;      9;     11.94;      5.56;     803.12;    0.118265;     -926.337349;     -926.219083;     -926.022303;     -0.62
       262;        131.0;      8;     11.05;      5.58;     806.84;    0.118812;     -926.338297;     -926.219486;     -926.022330;     -0.71
       263;        131.5;      8;     10.98;      5.54;     816.54;    0.120240;     -926.340153;     -926.219912;     -926.022375;     -0.86
       264;        132.0;      8;     11.00;      5.54;     827.69;    0.121883;     -926.342228;     -926.220345;     -926.022417;     -1.01
       265;        132.5;      8;     11.23;      5.50;     835.96;    0.123100;     -926.343864;     -926.220763;     -926.022438;     -1.08
       266;        133.0;      9;     12.08;      5.50;     839.03;    0.123552;     -926.344705;     -926.221153;     -926.022429;     -1.05
       267;        133.5;      9;     12.06;      5.52;     837.73;    0.123361;     -926.344872;     -926.221511;     -926.022389;     -0.91
       268;        134.0;      9;     12.04;      5.51;     835.77;    0.123073;     -926.344928;     -926.221856;     -926.022338;     -0.74
       269;        134.5;      8;     11.06;      5.46;     837.89;    0.123385;     -926.345606;     -926.222221;     -926.022305;     -0.63
       270;        135.0;      7;     10.08;      5.51;     846.89;    0.124711;     -926.347348;     -926.222637;     -926.022316;     -0.66
       271;        135.5;      7;     10.08;      5.48;     861.32;    0.126836;     -926.349944;     -926.223108;     -926.022372;     -0.85
       272;        136.0;      9;     11.97;      5.49;     875.74;    0.128958;     -926.352559;     -926.223601;     -926.022439;     -1.08
       273;        136.5;      8;     11.09;      5.51;     883.79;    0.130144;     -926.354217;     -926.224073;     -926.022479;     -1.22
       274;        137.0;      9;     11.89;      5.46;     881.91;    0.129867;     -926.354366;     -926.224498;     -926.022474;     -1.20
       275;        137.5;      8;     10.91;      5.43;     871.10;    0.128274;     -926.353153;     -926.224879;     -926.022431;     -1.05
       276;        138.0;      8;     10.93;      5.45;     856.06;    0.126060;     -926.351295;     -926.225235;     -926.022376;     -0.87
       277;        138.5;      8;     10.93;      5.45;     842.76;    0.124101;     -926.349696;     -926.225594;     -926.022334;     -0.72
       278;        139.0;      9;     11.77;      5.48;     835.80;    0.123077;     -926.349053;     -926.225976;     -926.022319;     -0.67
       279;        139.5;      9;     11.72;      5.45;     836.77;    0.123220;     -926.349610;     -926.226390;     -926.022336;     -0.73
       280;        140.0;      9;     11.78;      5.44;     843.92;    0.124273;     -926.351105;     -926.226832;     -926.022375;     -0.87
       281;        140.5;      6;      8.91;      5.42;     853.08;    0.125622;     -926.352907;     -926.227285;     -926.022419;     -1.01
       282;        141.0;      8;     10.92;      5.53;     859.37;    0.126548;     -926.354277;     -926.227729;     -926.022450;     -1.12
       283;        141.5;      9;     12.33;      5.60;     859.29;    0.126536;     -926.354683;     -926.228147;     -926.022453;     -1.13
       284;        142.0;      9;     12.21;      5.49;     852.41;    0.125523;     -926.354047;     -926.228523;     -926.022421;     -1.02
       285;        142.5;      9;     12.03;      5.42;     842.02;    0.123993;     -926.352857;     -926.228864;     -926.022361;     -0.81
       286;        143.0;      9;     11.84;      5.42;     834.03;    0.122816;     -926.352017;     -926.229201;     -926.022302;     -0.62
       287;        143.5;      8;     10.92;      5.51;     833.92;    0.122800;     -926.352379;     -926.229580;     -926.022286;     -0.56
       288;        144.0;      9;     11.81;      5.42;     843.10;    0.124152;     -926.354176;     -926.230023;     -926.022328;     -0.70
       289;        144.5;      9;     11.81;      5.40;     857.49;    0.126270;     -926.356783;     -926.230512;     -926.022404;     -0.96
       290;        145.0;      9;     12.32;      5.37;     869.78;    0.128081;     -926.359078;     -926.230998;     -926.022468;     -1.18
       291;        145.5;      8;     10.94;      5.39;     873.99;    0.128700;     -926.360139;     -926.231439;     -926.022485;     -1.24
       292;        146.0;      8;     10.99;      5.40;     868.71;    0.127924;     -926.359754;     -926.231830;     -926.022454;     -1.13
       293;        146.5;      9;     11.88;      5.34;     857.28;    0.126240;     -926.358430;     -926.232190;     -926.022402;     -0.96
       294;        147.0;      9;     11.84;      5.36;     845.27;    0.124472;     -926.357021;     -926.232549;     -926.022358;     -0.81
       295;        147.5;      8;     10.86;      5.36;     837.54;    0.123333;     -926.356261;     -926.232928;     -926.022339;     -0.74
       296;        148.0;      7;     10.14;      5.37;     836.21;    0.123137;     -926.356474;     -926.233337;     -926.022351;     -0.78
       297;        148.5;      7;      9.90;      5.36;     840.17;    0.123720;     -926.357491;     -926.233771;     -926.022386;     -0.90
       298;        149.0;      7;      9.89;      5.37;     845.83;    0.124554;     -926.358772;     -926.234218;     -926.022428;     -1.05
       299;        149.5;      9;     11.85;      5.40;     848.71;    0.124977;     -926.359635;     -926.234657;     -926.022462;     -1.16
       300;        150.0;      8;     10.88;      5.40;     845.31;    0.124478;     -926.359548;     -926.235069;     -926.022470;     -1.19
       301;        150.5;      8;     10.94;      5.38;     834.70;    0.122916;     -926.358358;     -926.235442;     -926.022447;     -1.11
       302;        151.0;      8;     10.95;      5.38;     819.16;    0.120627;     -926.356403;     -926.235776;     -926.022397;     -0.94
       303;        151.5;      9;     11.81;      5.38;     803.63;    0.118340;     -926.354430;     -926.236091;     -926.022339;     -0.74
       304;        152.0;      8;     10.93;      5.35;     793.55;    0.116855;     -926.353278;     -926.236423;     -926.022306;     -0.63
       305;        152.5;      8;     10.82;      5.39;     791.78;    0.116595;     -926.353398;     -926.236803;     -926.022323;     -0.69
       306;        153.0;      8;     10.80;      5.34;     796.53;    0.117294;     -926.354523;     -926.237228;     -926.022380;     -0.88
       307;        153.5;      7;      9.93;      5.37;     802.15;    0.118121;     -926.355785;     -926.237663;     -926.022443;     -1.10
       308;        154.0;      9;     11.76;      5.38;     802.55;    0.118181;     -926.356249;     -926.238068;     -926.022476;     -1.21
       309;        154.5;      8;     10.92;      5.38;     794.76;    0.117034;     -926.355456;     -926.238422;     -926.022465;     -1.17
       310;        155.0;      8;     10.93;      5.34;     780.16;    0.114884;     -926.353620;     -926.238736;     -926.022423;     -1.03
       311;        155.5;      8;     10.95;      5.35;     763.24;    0.112392;     -926.351424;     -926.239033;     -926.022377;     -0.87
       312;        156.0;      8;     10.90;      5.35;     749.10;    0.110310;     -926.349642;     -926.239333;     -926.022344;     -0.76
       313;        156.5;      8;     10.90;      5.37;     741.34;    0.109168;     -926.348820;     -926.239653;     -926.022338;     -0.74
       314;        157.0;      9;     11.81;      5.57;     740.77;    0.109083;     -926.349084;     -926.240001;     -926.022360;     -0.81
       315;        157.5;      9;     12.11;      5.45;     745.18;    0.109733;     -926.350104;     -926.240371;     -926.022401;     -0.95
       316;        158.0;      8;     11.18;      5.48;     750.28;    0.110483;     -926.351233;     -926.240750;     -926.022446;     -1.11
       317;        158.5;      8;     11.25;      5.52;     751.30;    0.110634;     -926.351750;     -926.241116;     -926.022479;     -1.22
       318;        159.0;      9;     12.09;      5.45;     744.87;    0.109687;     -926.351138;     -926.241452;     -926.022485;     -1.24
       319;        159.5;      9;     12.12;      5.43;     730.42;    0.107559;     -926.349301;     -926.241742;     -926.022457;     -1.14
       320;        160.0;      9;     11.93;      5.37;     710.93;    0.104689;     -926.346676;     -926.241988;     -926.022399;     -0.94
       321;        160.5;      9;     11.88;      5.39;     692.20;    0.101931;     -926.344146;     -926.242215;     -926.022335;     -0.73
       322;        161.0;      8;     10.89;      5.36;     680.28;    0.100175;     -926.342642;     -926.242467;     -926.022307;     -0.63
       323;        161.5;      7;      9.90;      5.39;     677.74;    0.099801;     -926.342576;     -926.242775;     -926.022335;     -0.73
       324;        162.0;      9;     11.87;      5.42;     681.71;    0.100387;     -926.343510;     -926.243123;     -926.022401;     -0.95
       325;        162.5;      9;     12.01;      5.39;     685.77;    0.100985;     -926.344451;     -926.243467;     -926.022458;     -1.15
       326;        163.0;      9;     11.91;      5.36;     684.27;    0.100764;     -926.344531;     -926.243767;     -926.022474;     -1.20
       327;        163.5;      8;     10.98;      5.38;     675.68;    0.099498;     -926.343516;     -926.244018;     -926.022448;     -1.11
       328;        164.0;      8;     11.00;      5.37;     662.73;    0.097591;     -926.341832;     -926.244240;     -926.022401;     -0.95
       329;        164.5;      8;     10.95;      5.42;     650.40;    0.095776;     -926.340233;     -926.244457;     -926.022359;     -0.81
       330;        165.0;      8;     10.98;      5.36;     643.37;    0.094741;     -926.339429;     -926.244689;     -926.022336;     -0.73
       331;        165.5;      9;     11.76;      5.36;     644.15;    0.094856;     -926.339805;     -926.244950;     -926.022343;     -0.75
       332;        166.0;      7;      9.91;      5.37;     652.18;    0.096037;     -926.341281;     -926.245244;     -926.022377;     -0.87
       333;        166.5;      9;     11.85;      5.34;     664.01;    0.097779;     -926.343341;     -926.245562;     -926.022425;     -1.03
       334;        167.0;      8;     10.98;      5.37;     674.73;    0.099359;     -926.345242;     -926.245883;     -926.022468;     -1.18
       335;        167.5;      8;     10.94;      5.35;     679.97;    0.100131;     -926.346317;     -926.246186;     -926.022490;     -1.26
       336;        168.0;      8;     10.95;      5.39;     677.59;    0.099779;     -926.346236;     -926.246457;     -926.022482;     -1.23
       337;        168.5;      8;     11.03;      5.38;     668.55;    0.098449;     -926.345142;     -926.246694;     -926.022446;     -1.10
       338;        169.0;      8;     10.96;      5.40;     656.69;    0.096702;     -926.343610;     -926.246908;     -926.022396;     -0.94
       339;        169.5;      8;     10.99;      5.40;     646.99;    0.095273;     -926.342402;     -926.247128;     -926.022360;     -0.81
       340;        170.0;      7;      9.99;      5.37;     642.90;    0.094671;     -926.342054;     -926.247383;     -926.022360;     -0.81
       341;        170.5;      9;     11.74;      5.42;     644.27;    0.094873;     -926.342545;     -926.247672;     -926.022395;     -0.93
       342;        171.0;      9;     11.83;      5.44;     647.63;    0.095368;     -926.343339;     -926.247971;     -926.022437;     -1.07
       343;        171.5;      8;     10.93;      5.40;     648.74;    0.095531;     -926.343784;     -926.248253;     -926.022460;     -1.15
       344;        172.0;      8;     10.91;      5.46;     645.15;    0.095003;     -926.343509;     -926.248506;     -926.022458;     -1.15
       345;        172.5;      8;     10.96;      5.37;     637.06;    0.093812;     -926.342546;     -926.248735;     -926.022437;     -1.08
       346;        173.0;      8;     10.88;      5.36;     626.70;    0.092286;     -926.341233;     -926.248947;     -926.022408;     -0.98
       347;        173.5;      8;     10.87;      5.38;     617.34;    0.090907;     -926.340058;     -926.249151;     -926.022377;     -0.87
       348;        174.0;      8;     10.98;      5.41;     612.29;    0.090163;     -926.339525;     -926.249361;     -926.022357;     -0.80
       349;        174.5;      8;     10.86;      5.41;     613.70;    0.090372;     -926.339966;     -926.249594;     -926.022357;     -0.80
       350;        175.0;      6;      8.89;      5.38;     621.49;    0.091519;     -926.341374;     -926.249855;     -926.022381;     -0.88
       351;        175.5;      8;     10.96;      5.47;     633.13;    0.093232;     -926.343372;     -926.250140;     -926.022418;     -1.01
       352;        176.0;      8;     11.09;      5.56;     644.61;    0.094923;     -926.345355;     -926.250432;     -926.022456;     -1.14
       353;        176.5;      8;     11.06;      5.60;     652.10;    0.096027;     -926.346741;     -926.250714;     -926.022478;     -1.21
       354;        177.0;      8;     11.01;      5.40;     653.36;    0.096212;     -926.347185;     -926.250973;     -926.022475;     -1.20
       355;        177.5;      8;     10.87;      5.38;     648.65;    0.095518;     -926.346723;     -926.251205;     -926.022448;     -1.11
       356;        178.0;      8;     10.95;      5.37;     640.61;    0.094334;     -926.345753;     -926.251419;     -926.022411;     -0.99
       357;        178.5;      9;     11.96;      5.38;     632.82;    0.093187;     -926.344829;     -926.251641;     -926.022387;     -0.90
       358;        179.0;      9;     11.80;      5.41;     627.56;    0.092412;     -926.344301;     -926.251889;     -926.022392;     -0.92
       359;        179.5;      9;     11.88;      5.39;     624.32;    0.091935;     -926.344090;     -926.252156;     -926.022419;     -1.01
       360;        180.0;      8;     10.93;      5.46;     620.59;    0.091386;     -926.343804;     -926.252418;     -926.022444;     -1.10
       361;        180.5;      8;     10.92;      5.43;     613.94;    0.090407;     -926.343066;     -926.252659;     -926.022452;     -1.13
       362;        181.0;      8;     10.94;      5.40;     603.48;    0.088866;     -926.341743;     -926.252877;     -926.022446;     -1.10
       363;        181.5;      8;     10.98;      5.37;     589.89;    0.086865;     -926.339940;     -926.253075;     -926.022430;     -1.05
       364;        182.0;      7;      9.95;      5.40;     574.97;    0.084668;     -926.337924;     -926.253256;     -926.022407;     -0.97
       365;        182.5;      8;     10.90;      5.39;     561.25;    0.082648;     -926.336072;     -926.253423;     -926.022381;     -0.88
       366;        183.0;      9;     11.87;      5.47;     551.46;    0.081206;     -926.334796;     -926.253590;     -926.022362;     -0.82
       367;        183.5;      9;     11.88;      5.40;     547.47;    0.080619;     -926.334392;     -926.253773;     -926.022361;     -0.82
       368;        184.0;      8;     10.94;      5.41;     549.26;    0.080882;     -926.334859;     -926.253978;     -926.022382;     -0.89
       369;        184.5;      8;     10.95;      5.41;     554.71;    0.081685;     -926.335882;     -926.254197;     -926.022412;     -0.99
       370;        185.0;      7;      9.94;      5.41;     560.70;    0.082567;     -926.336983;     -926.254416;     -926.022438;     -1.08
       371;        185.5;      7;      9.91;      5.42;     564.61;    0.083143;     -926.337763;     -926.254620;     -926.022447;     -1.11
       372;        186.0;      8;     10.93;      5.39;     565.56;    0.083282;     -926.338087;     -926.254806;     -926.022436;     -1.07
       373;        186.5;      8;     10.89;      5.48;     564.56;    0.083135;     -926.338116;     -926.254981;     -926.022416;     -1.00
       374;        187.0;      8;     10.97;      5.40;     563.54;    0.082984;     -926.338149;     -926.255164;     -926.022404;     -0.96
       375;        187.5;      8;     10.95;      5.37;     563.74;    0.083015;     -926.338379;     -926.255364;     -926.022408;     -0.98
       376;        188.0;      9;     12.02;      5.40;     564.86;    0.083179;     -926.338755;     -926.255575;     -926.022424;     -1.03
       377;        188.5;      8;     10.93;      5.39;     565.56;    0.083282;     -926.339066;     -926.255784;     -926.022436;     -1.07
       378;        189.0;      8;     10.89;      5.42;     564.66;    0.083150;     -926.339135;     -926.255986;     -926.022441;     -1.09
       379;        189.5;      8;     10.90;      5.48;     561.55;    0.082691;     -926.338875;     -926.256184;     -926.022446;     -1.11
       380;        190.0;      8;     11.16;      5.52;     555.77;    0.081841;     -926.338220;     -926.256378;     -926.022451;     -1.12
       381;        190.5;      8;     11.24;      5.49;     547.01;    0.080551;     -926.337110;     -926.256558;     -926.022449;     -1.11
       382;        191.0;      8;     11.11;      5.39;     535.76;    0.078895;     -926.335610;     -926.256715;     -926.022431;     -1.05
       383;        191.5;      6;      8.96;      5.49;     523.95;    0.077156;     -926.334006;     -926.256851;     -926.022401;     -0.95
       384;        192.0;      8;     11.06;      5.46;     514.44;    0.075755;     -926.332739;     -926.256983;     -926.022375;     -0.86
       385;        192.5;      6;      9.02;      5.52;     509.71;    0.075059;     -926.332187;     -926.257129;     -926.022365;     -0.83
       386;        193.0;      8;     11.12;      5.34;     510.58;    0.075186;     -926.332481;     -926.257295;     -926.022375;     -0.87
       387;        193.5;      8;     10.84;      5.39;     515.84;    0.075962;     -926.333440;     -926.257479;     -926.022400;     -0.95
       388;        194.0;      8;     10.86;      5.36;     523.04;    0.077022;     -926.334689;     -926.257668;     -926.022423;     -1.03
       389;        194.5;      8;     10.90;      5.38;     529.73;    0.078007;     -926.335855;     -926.257849;     -926.022434;     -1.07
       390;        195.0;      8;     10.92;      5.39;     534.71;    0.078739;     -926.336756;     -926.258017;     -926.022429;     -1.05
       391;        195.5;      9;     11.89;      5.34;     538.35;    0.079275;     -926.337455;     -926.258180;     -926.022415;     -1.00
       392;        196.0;      6;      8.84;      5.33;     541.90;    0.079798;     -926.338147;     -926.258349;     -926.022405;     -0.97
       393;        196.5;      8;     10.82;      5.37;     546.27;    0.080441;     -926.338974;     -926.258532;     -926.022407;     -0.97
       394;        197.0;      8;     10.81;      5.34;     551.41;    0.081199;     -926.339926;     -926.258727;     -926.022416;     -1.00
       395;        197.5;      8;     10.78;      5.42;     556.62;    0.081965;     -926.340893;     -926.258927;     -926.022426;     -1.04
       396;        198.0;      8;     10.77;      5.32;     560.97;    0.082607;     -926.341738;     -926.259131;     -926.022436;     -1.07
       397;        198.5;      8;     10.84;      5.35;     563.48;    0.082976;     -926.342313;     -926.259337;     -926.022448;     -1.11
       398;        199.0;      8;     10.76;      5.31;     563.09;    0.082919;     -926.342458;     -926.259539;     -926.022455;     -1.13
       399;        199.5;      8;     10.88;      5.30;     559.28;    0.082357;     -926.342082;     -926.259725;     -926.022449;     -1.12
       400;        200.0;      8;     10.81;      5.32;     552.73;    0.081393;     -926.341285;     -926.259892;     -926.022429;     -1.05
       401;        200.5;      8;     10.80;      5.32;     545.49;    0.080328;     -926.340376;     -926.260048;     -926.022403;     -0.96
       402;        201.0;      8;     10.75;      5.34;     540.08;    0.079531;     -926.339739;     -926.260209;     -926.022386;     -0.90
       403;        201.5;      8;     10.77;      5.31;     538.13;    0.079243;     -926.339629;     -926.260386;     -926.022387;     -0.90
       404;        202.0;      8;     10.78;      5.31;     539.52;    0.079448;     -926.340028;     -926.260580;     -926.022404;     -0.96
       405;        202.5;      8;     10.76;      5.31;     542.62;    0.079904;     -926.340684;     -926.260779;     -926.022424;     -1.03
       406;        203.0;      8;     10.72;      5.34;     545.39;    0.080312;     -926.341283;     -926.260971;     -926.022434;     -1.06
       407;        203.5;      8;     10.74;      5.30;     546.84;    0.080525;     -926.341672;     -926.261146;     -926.022426;     -1.04
       408;        204.0;      8;     10.78;      5.29;     547.65;    0.080645;     -926.341956;     -926.261311;     -926.022408;     -0.98
       409;        204.5;      8;     10.73;      5.33;     549.59;    0.080931;     -926.342411;     -926.261480;     -926.022393;     -0.92
       410;        205.0;      9;     11.58;      5.31;     554.22;    0.081612;     -926.343277;     -926.261665;     -926.022390;     -0.91
       411;        205.5;      9;     11.67;      5.27;     561.94;    0.082749;     -926.344616;     -926.261867;     -926.022398;     -0.94
       412;        206.0;      8;     10.70;      5.32;     572.08;    0.084242;     -926.346324;     -926.262082;     -926.022411;     -0.99
       413;        206.5;      8;     10.67;      5.27;     583.30;    0.085895;     -926.348204;     -926.262309;     -926.022429;     -1.05
       414;        207.0;      8;     10.67;      5.28;     593.80;    0.087440;     -926.349988;     -926.262548;     -926.022450;     -1.12
       415;        207.5;      8;     10.71;      5.27;     601.46;    0.088569;     -926.351358;     -926.262789;     -926.022468;     -1.18
       416;        208.0;      8;     10.77;      5.35;     604.59;    0.089030;     -926.352048;     -926.263019;     -926.022472;     -1.19
       417;        208.5;      8;     10.93;      5.39;     602.96;    0.088789;     -926.352017;     -926.263227;     -926.022457;     -1.14
       418;        209.0;      8;     10.92;      5.38;     598.24;    0.088095;     -926.351516;     -926.263421;     -926.022430;     -1.05
       419;        209.5;      8;     10.80;      5.25;     593.19;    0.087351;     -926.350967;     -926.263616;     -926.022407;     -0.97
       420;        210.0;      8;     10.61;      5.24;     590.10;    0.086896;     -926.350722;     -926.263826;     -926.022403;     -0.96
       421;        210.5;      6;      8.67;      5.25;     589.49;    0.086807;     -926.350860;     -926.264054;     -926.022417;     -1.00
       422;        211.0;      8;     10.66;      5.25;     589.93;    0.086871;     -926.351164;     -926.264292;     -926.022440;     -1.09
       423;        211.5;      8;     10.61;      5.22;     589.02;    0.086737;     -926.351262;     -926.264525;     -926.022459;     -1.15
       424;        212.0;      8;     10.81;      5.22;     585.01;    0.086146;     -926.350881;     -926.264735;     -926.022459;     -1.15
       425;        212.5;      8;     10.60;      5.23;     578.08;    0.085127;     -926.350045;     -926.264919;     -926.022436;     -1.07
       426;        213.0;      8;     10.65;      5.21;     570.57;    0.084020;     -926.349107;     -926.265086;     -926.022404;     -0.96
       427;        213.5;      8;     10.58;      5.23;     565.79;    0.083316;     -926.348574;     -926.265258;     -926.022379;     -0.88
       428;        214.0;      8;     10.57;      5.22;     566.32;    0.083394;     -926.348843;     -926.265449;     -926.022373;     -0.86
       429;        214.5;      8;     10.59;      5.21;     572.83;    0.084352;     -926.350017;     -926.265665;     -926.022387;     -0.90
       430;        215.0;      8;     10.58;      5.22;     583.97;    0.085993;     -926.351894;     -926.265900;     -926.022412;     -0.99
       431;        215.5;      8;     10.55;      5.22;     597.09;    0.087926;     -926.354075;     -926.266149;     -926.022441;     -1.09
       432;        216.0;      8;     10.57;      5.20;     609.18;    0.089706;     -926.356106;     -926.266400;     -926.022463;     -1.16
       433;        216.5;      8;     10.61;      5.21;     617.90;    0.090990;     -926.357633;     -926.266643;     -926.022470;     -1.19
       434;        217.0;      8;     10.59;      5.22;     622.53;    0.091671;     -926.358540;     -926.266869;     -926.022458;     -1.15
       435;        217.5;      8;     10.62;      5.23;     624.29;    0.091931;     -926.359014;     -926.267083;     -926.022432;     -1.06
       436;        218.0;      8;     10.71;      5.37;     625.70;    0.092139;     -926.359439;     -926.267300;     -926.022408;     -0.98
       437;        218.5;      8;     10.75;      5.34;     629.08;    0.092637;     -926.360173;     -926.267536;     -926.022401;     -0.95
       438;        219.0;      9;     11.88;      5.34;     635.12;    0.093525;     -926.361324;     -926.267799;     -926.022416;     -1.00
       439;        219.5;      8;     11.02;      5.47;     642.29;    0.094582;     -926.362666;     -926.268084;     -926.022447;     -1.11
       440;        220.0;      8;     10.86;      5.34;     647.54;    0.095355;     -926.363728;     -926.268373;     -926.022479;     -1.22
       441;        220.5;      8;     10.72;      5.35;     647.79;    0.095392;     -926.364038;     -926.268646;     -926.022495;     -1.27
       442;        221.0;      8;     10.72;      5.21;     641.74;    0.094500;     -926.363387;     -926.268887;     -926.022483;     -1.23
       443;        221.5;      8;     10.59;      5.20;     630.79;    0.092887;     -926.361985;     -926.269097;     -926.022449;     -1.11
       444;        222.0;      8;     10.58;      5.25;     618.68;    0.091105;     -926.360397;     -926.269291;     -926.022407;     -0.97
       445;        222.5;      8;     10.58;      5.20;     609.82;    0.089800;     -926.359292;     -926.269491;     -926.022377;     -0.87
       446;        223.0;      8;     10.53;      5.19;     607.30;    0.089429;     -926.359142;     -926.269714;     -926.022372;     -0.85
       447;        223.5;      8;     10.53;      5.21;     611.67;    0.090073;     -926.360037;     -926.269964;     -926.022392;     -0.92
       448;        224.0;      8;     10.58;      5.23;     620.92;    0.091435;     -926.361671;     -926.270236;     -926.022427;     -1.04
       449;        224.5;      8;     10.65;      5.21;     631.38;    0.092975;     -926.363492;     -926.270517;     -926.022462;     -1.16
       450;        225.0;      8;     10.62;      5.32;     639.35;    0.094148;     -926.364935;     -926.270787;     -926.022482;     -1.23
       451;        225.5;      8;     10.64;      5.21;     642.76;    0.094651;     -926.365685;     -926.271033;     -926.022474;     -1.20
       452;        226.0;      8;     10.66;      5.19;     642.32;    0.094585;     -926.365841;     -926.271255;     -926.022443;     -1.09
       453;        226.5;      8;     10.57;      5.20;     641.11;    0.094407;     -926.365876;     -926.271469;     -926.022404;     -0.96
       454;        227.0;      9;     11.44;      5.21;     642.96;    0.094680;     -926.366379;     -926.271699;     -926.022380;     -0.88
       455;        227.5;      9;     11.41;      5.23;     650.20;    0.095746;     -926.367711;     -926.271965;     -926.022387;     -0.90
       456;        228.0;      9;     11.47;      5.23;     662.11;    0.097500;     -926.369770;     -926.272270;     -926.022424;     -1.03
       457;        228.5;      8;     10.75;      5.29;     675.01;    0.099399;     -926.371998;     -926.272599;     -926.022475;     -1.20
       458;        229.0;      8;     10.78;      5.30;     683.88;    0.100705;     -926.373630;     -926.272925;     -926.022517;     -1.35
       459;        229.5;      8;     10.86;      5.28;     684.68;    0.100824;     -926.374047;     -926.273223;     -926.022531;     -1.39
       460;        230.0;      8;     10.77;      5.21;     676.35;    0.099597;     -926.373076;     -926.273479;     -926.022508;     -1.32
       461;        230.5;      8;     10.62;      5.20;     661.41;    0.097397;     -926.371095;     -926.273697;     -926.022459;     -1.15
       462;        231.0;      8;     10.57;      5.19;     644.99;    0.094979;     -926.368880;     -926.273901;     -926.022407;     -0.97
       463;        231.5;      8;     10.53;      5.21;     632.46;    0.093134;     -926.367250;     -926.274117;     -926.022377;     -0.87
       464;        232.0;      8;     10.63;      5.22;     626.90;    0.092316;     -926.366679;     -926.274363;     -926.022382;     -0.89
